Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,I,,1,en,9/16/16 20:18,9/16/16 20:19,Family Medicine,,LT,2016,,CONUS Operational,,> 4 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,I,9/17/16 3:03,4,en,9/17/16 2:57,9/17/16 3:03,Emergency Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,4,5,2,Other,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Mixed,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,I,9/17/16 15:27,4,en,9/17/16 14:50,9/17/16 15:27,Neurosurgery,,CDR,Other,2011,CONUS MTF,,2-4 months,,3,3,4,1st choice,National Capital Region,,,,,,,,,Academic Medicine,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,I,9/18/16 11:29,4,en,9/18/16 11:23,9/18/16 11:29,Cardiothoracic Surgery,,CDR,2015,,CONUS MTF,,> 4 months,,1,3,2,1st choice,Southern California,National Capital Region,Pacific Northwest,"Southeast (North Carolina, Florida)",Northeast,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",Resign/Retire,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,I,9/6/16 16:14,4,en,9/6/16 16:07,9/6/16 16:14,Undersea Medicine,,LT,2014,,Non-Operational/Non-Clinical,,< 1 month,,1,1,4,> 4th choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Middle East or Africa,National Capital Region,"Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Operational Medicine,,Do not care,1 tour (~3 years),Yes,Other,Dec-16,Yes,Yes,I,9/18/16 22:47,4,en,9/18/16 22:36,9/18/16 22:47,Pediatrics,,LT,2014,,GME,,2-4 months,,2,4,,1st choice,,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Pacific Northwest,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Yes,,4 tours (~12 years),,No,,Something similar to the National Residency Match Program,,Dec-16,,No,Yes,
1337,I,9/19/16 12:23,4,en,9/19/16 12:17,9/19/16 12:23,Infectious Disease (IM),,CDR,2012,,CONUS MTF,,2-4 months,,3,3,5,1st choice,Southern California,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Europe,Pacific Northwest,"Southeast (North Carolina, Florida)",Northeast,Middle East or Africa,Resign/Retire,,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,I,9/19/16 15:47,4,en,9/19/16 15:42,9/19/16 15:47,Neurosurgery,,LCDR,2012,,GME,,> 4 months,,,,,1st choice,Southern California,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Academic Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,I,9/19/16 20:59,4,en,9/19/16 20:40,9/19/16 20:59,Family Medicine,,CDR,2015,,OCONUS MTF,,< 1 month,,1,1,,Other,Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",National Capital Region,Europe,Middle East or Africa,Resign/Retire,,Yes,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,I,9/19/16 21:27,4,en,9/19/16 21:01,9/19/16 21:27,Emergency Medicine,,LCDR,2016,,OCONUS MTF,,2-4 months,,4,5,3,1st choice,Southern California,Europe,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Middle East or Africa,"Southeast (North Carolina, Florida)",Northeast,National Capital Region,Mixed,,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,I,9/20/16 8:36,4,en,9/20/16 8:32,9/20/16 8:36,Family Medicine,,LCDR,2013,,CONUS Operational,,2-4 months,,4,4,4,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,,,,,,,Operational Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,I,9/20/16 11:17,4,en,9/20/16 11:14,9/20/16 11:17,Gastroenterology (IM),,CDR,2015,,CONUS MTF,,> 4 months,,,3,1,1st choice,National Capital Region,,,,,,,,,Resign/Retire,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,I,9/20/16 12:14,4,en,9/20/16 12:00,9/20/16 12:14,Ophthalmology,,CAPT or Flag,2016,,CONUS Operational,,< 1 month,,1,1,1,> 4th choice,"Southeast (North Carolina, Florida)",Europe,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Resign/Retire,,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,I,9/21/16 1:42,4,en,9/21/16 1:37,9/21/16 1:42,OB/GYN,,LCDR,2014,,OCONUS MTF,,2-4 months,,1,3,3,Other,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,"Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Undecided,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,I,9/21/16 4:15,4,en,9/21/16 4:03,9/21/16 4:15,Otolaryngology,,LCDR,2015,,OCONUS MTF,,2-4 months,,2,2,3,> 4th choice,"Southeast (North Carolina, Florida)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,National Capital Region,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,I,9/21/16 7:36,4,en,9/21/16 7:29,9/21/16 7:36,Infectious Disease (IM),,CDR,2015,,CONUS MTF,,> 4 months,,5,4,5,2nd choice,National Capital Region,Europe,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Northeast,Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)",Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,I,9/21/16 15:44,4,en,9/21/16 15:32,9/21/16 15:44,OB/GYN,,LCDR,2015,,GME,,2-4 months,,,,,Other,Pacific Northwest,Southern California,Europe,National Capital Region,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Middle East or Africa,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Mixed,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,I,,2,en,9/25/16 22:49,9/25/16 22:59,Ophthalmology,,CAPT or Flag,2015,,OCONUS MTF,,2-4 months,,2,5,3,> 4th choice,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Europe,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,No,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,I,9/26/16 18:22,4,en,9/26/16 18:16,9/26/16 18:22,Cardiothoracic Surgery,,CDR,2013,,CONUS MTF,,2-4 months,,5,5,5,2nd choice,Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,I,9/27/16 7:51,4,en,9/27/16 7:37,9/27/16 7:51,Otolaryngology,,LT,2016,,CONUS MTF,,2-4 months,,5,4,5,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Academic Medicine,,No,Other,No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,I,9/27/16 16:02,4,en,9/27/16 15:47,9/27/16 16:02,Physical Medicine and Rehabilitation,,LCDR,2015,,CONUS MTF,,> 4 months,,5,5,5,1st choice,Southern California,,,,,,,,,Resign/Retire,,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,I,9/27/16 18:44,4,en,9/27/16 18:38,9/27/16 18:44,General Surgery,,CAPT or Flag,2014,,CONUS Operational,,2-4 months,,4,4,3,2nd choice,Southern California,Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",National Capital Region,Middle East or Africa,Europe,Northeast,Clinical Medicine,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,I,9/28/16 18:56,4,en,9/28/16 18:49,9/28/16 18:56,Family Medicine,,LCDR,2014,,GME,,< 1 month,,4,3,2,1st choice,"Southeast (North Carolina, Florida)",Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Operational Medicine,,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,I,9/28/16 15:29,4,en,9/28/16 15:25,9/28/16 15:29,OB/GYN,,LCDR,2014,,CONUS Operational,,2-4 months,,5,3,4,> 4th choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Southeast (North Carolina, Florida)",Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",,,Mixed,,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,I,9/28/16 15:32,4,en,9/28/16 15:27,9/28/16 15:32,General Surgery,,CDR,2016,,CONUS Operational,,2-4 months,,2,3,2,1st choice,Southern California,Pacific Northwest,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Europe,Middle East or Africa,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Resign/Retire,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,I,,1,en,9/6/16 16:22,9/6/16 16:23,Undersea Medicine,,LT,2015,,CONUS Operational,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,I,9/6/16 21:28,4,en,9/6/16 21:23,9/6/16 21:28,Undersea Medicine,,CAPT or Flag,2015,,CONUS Operational,,2-4 months,,4,5,4,1st choice,,,,,,,,,,Research,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,I,9/29/16 12:15,4,en,9/29/16 12:08,9/29/16 12:15,Pediatrics,,LT,2014,,CONUS MTF,,> 4 months,,2,3,2,> 4th choice,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Europe,National Capital Region,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Undecided,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,I,9/13/16 10:56,4,en,9/13/16 10:45,9/13/16 10:56,Undersea Medicine,,LT,2016,,CONUS Operational,,< 1 month,,3,5,,1st choice,Pacific Northwest,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,National Capital Region,Northeast,Clinical Medicine,,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,I,9/30/16 12:39,4,en,9/30/16 12:34,9/30/16 12:39,Internal Medicine (General),,LCDR,2016,,CONUS MTF,,< 1 month,,1,2,1,2nd choice,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,Pacific Northwest,Middle East or Africa,"Southeast (North Carolina, Florida)",Other,"multiple options including fellowship, executive medicine, and research",No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,I,9/30/16 12:55,4,en,9/30/16 12:52,9/30/16 12:55,Pathology,,LCDR,2014,,CONUS MTF,,2-4 months,,4,,5,1st choice,Southern California,"Southeast (North Carolina, Florida)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,National Capital Region,Clinical Medicine,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Sep-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,I,9/30/16 17:04,4,en,9/30/16 16:56,9/30/16 17:04,OB/GYN,,LCDR,2014,,CONUS MTF,,2-4 months,,4,5,5,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Southern California,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Undecided,,Yes,1 tour (~3 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,I,10/3/16 4:00,4,en,10/3/16 3:43,10/3/16 4:00,General Surgery,,LCDR,2016,,OCONUS MTF,,2-4 months,,5,5,,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Middle East or Africa,Clinical Medicine,,No,Other,Yes,Something similar to the National Residency Match Program,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,,,en,8/19/16 12:04,8/19/16 12:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,E,,1,en,8/19/16 13:37,8/19/16 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,E,,,en,8/20/16 10:31,8/20/16 10:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,E,,,en,8/20/16 11:17,8/20/16 11:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,E,,,en,8/20/16 11:21,8/20/16 11:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,E,,,en,8/20/16 12:45,8/20/16 12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,E,,,en,8/20/16 14:38,8/20/16 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,E,,,en,8/20/16 17:00,8/20/16 17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,E,,,en,8/20/16 17:29,8/20/16 17:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,E,,,en,8/21/16 0:12,8/21/16 0:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,E,,,en,8/22/16 12:04,8/22/16 12:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,E,,,en,8/22/16 13:20,8/22/16 13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,E,,,en,8/22/16 13:57,8/22/16 13:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,E,,2,en,8/22/16 16:10,8/22/16 16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,E,,,en,8/23/16 0:15,8/23/16 0:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,E,,,en,8/23/16 11:25,8/23/16 11:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,E,,,en,8/23/16 13:02,8/23/16 13:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,E,,,en,8/23/16 13:44,8/23/16 13:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,E,,,en,8/23/16 15:37,8/23/16 15:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,E,,,en,8/23/16 15:42,8/23/16 15:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,E,,,en,8/23/16 15:42,8/23/16 15:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,E,,,en,8/23/16 16:22,8/23/16 16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,E,,,en,8/23/16 16:26,8/23/16 16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,E,,,en,8/23/16 16:31,8/23/16 16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,E,,,en,8/23/16 18:34,8/23/16 18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,E,,,en,8/23/16 19:40,8/23/16 19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,E,,,en,8/23/16 23:51,8/23/16 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,E,,,en,8/24/16 8:05,8/24/16 8:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,E,,,en,8/24/16 11:04,8/24/16 11:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,E,,1,en,8/24/16 14:45,8/24/16 14:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,E,,,en,8/24/16 14:47,8/24/16 14:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,E,,,en,8/25/16 13:03,8/25/16 13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,E,,,en,8/25/16 15:14,8/25/16 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,E,,1,en,8/25/16 20:41,8/25/16 20:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,E,,,en,8/25/16 20:59,8/25/16 20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,E,8/26/16 12:33,4,en,8/26/16 12:33,8/26/16 12:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,E,,,en,8/26/16 14:10,8/26/16 14:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,E,,,en,8/27/16 15:09,8/27/16 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,E,,3,en,8/29/16 13:28,8/29/16 13:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,E,,,en,8/29/16 14:16,8/29/16 14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
